end station name,Average trip duration,station latitude,station longitude,bikes entering
Sullivan Square,1040.0945945945946,42.38445226,-71.07514855,148
Sumner St at Shirley Ave,2521.176470588235,42.40833706,-70.99804848,17
Surface Rd at India St,793.125260960334,42.358155,-71.052163,479
Surface Rd at Summer St,1028.0402010050252,42.3529457,-71.05656401,796
Swan St. Park,1163.2941176470588,42.41250451,-71.05842225,17
Sydney St at Carson St,1591.7701149425288,42.32039374,-71.05355408,87
Talbot Ave At Blue Hill Ave,1617.3333333333333,42.2945833,-71.087111,15
Tappan St at Brookline Hills MBTA,1053.0119047619048,42.33137017,-71.12688361,84
Teele Square,902.3467336683417,42.40087950000001,-71.12590793,199
The Dimock Center,1416.111111111111,42.31930943,-71.09639924,18
The Eddy - New St at Sumner St,307.1666666666667,42.370744,-71.044201,42
The Lawn on D,2750.0697674418607,42.344792,-71.044024,172
The Overlook at St. Gabriel's,2804.4655172413795,42.34679008,-71.14549814,58
Third at Binney,663.0834724540902,42.36544486,-71.08277142,599
Thorndike Field at Minuteman Bikeway,942.1941747572815,42.40016805,-71.14456963,103
Tremont St at E Berkeley St,786.8674698795181,42.345392,-71.069616,581
Tremont St at Hamilton Pl,1466.3630573248408,42.35668335,-71.06166646,785
Tremont St at Northampton St,771.350495049505,42.3384318,-71.0816905,505
Tremont St at W. Dedham St,672.9310344827586,42.34254914,-71.07421449,406
Tremont St at West St,1160.8985765124555,42.354979,-71.063348,562
Troy Boston,584.4519230769231,42.343749,-71.062256,312
Trum Field @ Cedar St (Temp Winter Station),808.4423076923077,42.398444,-71.107833,104
Tufts Sq - Main St at Medford St,803.1076923076923,42.401697,-71.106128,65
Union Square - Brighton Ave at Cambridge St,908.3853427895981,42.353334,-71.137313,423
Union Square - Somerville,831.1296928327645,42.3796479,-71.09540476,586
Union Square East,1823.8196078431372,42.380078,-71.090098,255
University Park,832.1257208765859,42.36264779,-71.10006094,867
University of Massachusetts Boston - Campus Center,1168.6829268292684,42.31218918,-71.03648586,41
Valenti Way at Haverhill St,932.2545743834527,42.36473899,-71.05934903,1257
Vassal Lane at Tobin/VLUS,1355.0153846153846,42.38536765,-71.13775671,65
